id;titulo;detalles_completos;semana_o_modulo;dependencias
U1;Introducción al Control Estadístico de Procesos;"La producción y los procesos productivos. La información de resultados. La producción y el control total de la calidad. Revisión de términos en muestreo, en estimación estadística y en docimasia estadística. Agrupación de datos. Histogramas. Medidas de tendencia central y de dispersión.";Semana 1;
U2;Introducción al Diseño Experimental;"Principios básicos del diseño experimental. Enfoque global. Construcción y uso de modelos. Variables. Criterios. Muestreo aleatorio.";Semana 2;U1
U3;Metodología a Usar (Análisis de Varianza);"Análisis de varianza. Modelo de Efecto Fijo. Homogeneidad de varianzas. Valores esperados. Modo de uso.";Semana 3;U2
U4;Diseño Completamente Aleatorizado (DCA);"Diseño Completamente Aleatorizado (DCA). Características. Terminologías y Fórmulas. Tabla del análisis de varianza (ANVA).";Semana 4;U3
U5;Dócimas para Homogeneidad de la Varianza;"Aplicación de Dócimas para la homogeneidad de la varianza: Cochrane, Levene, Hartley, Bartlett. Contrastes. Interpretación de resultados.";Semana 5;U4
U6;Diseño en Bloque Completamente Aleatorizado (DBCA);"Diseño en Bloques Completamente Aleatorizado (DBCA). Características. Terminologías y Fórmulas. Tabla ANVA. Criterios a considerar. Contrastes. Interpretación de resultados.";Semana 6;U4
U7;Diseño en Bloques Completamente Incompletos;"Introducción. Datos perdidos. Estimación del dato perdido. Ajustes por estimación de dato perdido. Consideraciones a tener en cuenta para el dato estimado. Interpretación de resultados.";Semana 7;U6
U8;Examen Parcial;"Evaluación escrita que comprende los temas desarrollados desde la Unidad 1 (Introducción al Control Estadístico de Procesos) hasta la Unidad 7 (Diseño en Bloques Completamente Incompletos).";Semana 8;U7
U9;Diseño en Cuadrado Latino (DCL);"Diseño en Cuadrado Latino (DCL). Características. Terminologías y Fórmulas. Tabla ANVA. Criterios a considerar. Contrastes. Interpretación de resultados.";Semana 9;U6
U10;Cuadrado Latino Incompletos;"Observaciones perdidas. Estimación del dato perdido. Consideraciones a tener en cuenta para el dato estimado. Interpretación de resultados.";Semana 10;U9
U11;Diseño de Experimentos Factoriales;"Introducción al diseño de experimentos factoriales y desarrollo de Modelos experimentales con factores con dos niveles. Experimentos con Un Factor (1F-DCA). Partición de la suma de cuadrados. Tabla ANVA. Experimentos con un solo factor en bloque (1F-DBCA).";Semana 11;U6
U12;Diseños Factoriales con Dos Factores y en Bloques;"Experimentos con Dos Factores (2F-DCA). Partición de suma de cuadrados. Cómputo de fórmulas. Tabla ANVA. Experimentos con Dos Factores en Bloques (2F-DBCA). Partición de suma de cuadrados. Cómputo de fórmulas. Tabla ANVA.";Semana 12;U11
U13;Diseños Factoriales con Tres Factores y en Bloques;"Experimentos con tres Factores en DBCA (3F-DBCA). Partición de la suma de cuadrados. Fórmulas. Tabla ANVA. Experimentos con tres factores en DCA (3F-DCA). Partición de la suma de cuadrados. Fórmulas. Tabla ANVA.";Semana 13;U12
U14;Diagramas de Control;"Estadística aplicada en mejoramiento de calidad. Control de calidad. Diseños experimentales para mejoramiento de calidad. Diagramas de Control.";Semana 14;U1
U15;Diagramas de Control por Variables;"Control de procesos. Gráficos en X y en R. Procesos bajo Control. Ajustes a gráficos de procesos que están fuera de control.";Semana 15;U14
U16;Examen Final;"Evaluación escrita que comprende los temas desarrollados desde la Unidad 9 (Diseño en Cuadrado Latino) hasta la Unidad 15 (Diagramas de Control por Variables), abarcando las dos ramas temáticas: diseños experimentales avanzados y diagramas de control.";Semana 16;U13,U15
U17;Libre;"Semana libre, sin actividad académica programada.";Semana 17;
U18;Examen Sustitutorio;"Evaluación sustitutoria que reemplaza la nota más baja obtenida entre el Examen Parcial (U8) y el Examen Final (U16).";Semana 18;U16
