id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Formulación de Problemas de Programación Lineal;tematico;"Formulación de problemas de programación lineal; Formulación de un Modelo de Programación Lineal (MPL) con más de dos variables";1;2;;
U1.2;Solución Gráfica y Algebraica de PL;tematico;"Solución de problemas de programación lineal mediante el método geométrico y algebraico";3;3;U1.1;Se requiere formular el modelo antes de resolverlo gráficamente.
U1.3;Método Simplex;tematico;"Método simplex, métodos para determinar una solución inicial básica factible";4;5;U1.2;El método simplex generaliza la solución algebraica de soluciones básicas factibles.
U1.4;Variables Artificiales;tematico;"Variables artificiales";6;6;U1.3;Las variables artificiales extienden el simplex cuando no hay solución básica inicial.
U1.5;Casos Especiales del Método Simplex;tematico;"Complicaciones del método simplex; Soluciones no acotadas, no factibles y alternativas";7;7;U1.4;Los casos especiales del simplex se identifican tras dominar variables artificiales.
L1;Laboratorio 1: Software para MPL;laboratorio;"Uso del LINGO, LINDO o SOLVER en la solución de los MPL";7;7;U1.3;El laboratorio aplica el algoritmo simplex mediante software especializado.
PC1;Práctica Calificada 1;evaluacion;"Evaluación sumativa de la Unidad 1: formulación, solución gráfica, simplex, variables artificiales y casos especiales";7;7;U1.5,L1;Evalúa el dominio de los casos especiales del método simplex. | Evalúa la aplicación práctica del simplex mediante software.
U2.1;Dualidad: Formulación del Dual a partir del Primal;tematico;"Dualidad, formulación del dual a partir del primal";8;8;U1.3;La dualidad se formula a partir del modelo primal resuelto por simplex.
U2.2;Interpretación Económica y Análisis de Sensibilidad;tematico;"Interpretación económica de la dualidad; Precio sombra, costos reducidos; Variación de los coeficientes de la función objetivo; Aplicaciones utilizando el software LINGO, LINDO o SOLVER";9;10;U2.1;La interpretación económica requiere conocer el problema dual formulado.
EP;Examen Parcial;evaluacion;"Evaluación parcial acumulativa de las Unidades 1 y 2: programación lineal, simplex y dualidad-sensibilidad";10;10;U2.2;El examen parcial evalúa dualidad y sensibilidad acumuladas hasta la fecha.
PC2;Práctica Calificada 2;evaluacion;"Evaluación sumativa de la Unidad 2: dualidad, interpretación económica y sensibilidad";11;11;U2.2;Evalúa el análisis de sensibilidad y la interpretación económica.
U3.1;Formulación de Modelos de Programación Lineal Entera;tematico;"Programación Lineal Entera; Formulación de modelos de programación lineal entera";12;12;U1.1;La formulación entera extiende la formulación lineal continua básica.
U3.2;Solución de Problemas de Programación Lineal Entera;tematico;"Solución de problemas de programación lineal entera";13;13;U3.1,U1.3;Resolver un modelo entero requiere haberlo formulado previamente. | La solución de problemas enteros usa relajaciones resueltas con simplex.
L2;Laboratorio 2: Software para MPL Entera;laboratorio;"Uso del LINGO, LINDO o SOLVER en la solución de los MPL Entera";13;13;U3.2;El laboratorio aplica software para resolver modelos enteros ya formulados.
PC3;Práctica Calificada 3;evaluacion;"Evaluación sumativa de la solución de programación lineal entera y su uso en software";13;13;U3.2,L2;Evalúa la solución de problemas de programación entera. | Evalúa el uso del software en programación entera.
U3.3;Consideraciones de Programación No Lineal y Multi-objetivo;tematico;"Consideraciones de la programación no lineal y multi-objetivo";14;14;U3.2;Las consideraciones no lineales contrastan con los modelos enteros ya resueltos.
PC4;Práctica Calificada 4;evaluacion;"Evaluación sumativa de las consideraciones de programación no lineal y multi-objetivo";14;14;U3.3;Evalúa la comprensión de programación no lineal y multi-objetivo.
EF;Examen Final;evaluacion;"Evaluación final integral de todo el curso: programación lineal, dualidad-sensibilidad, programación entera y consideraciones no lineales";14;14;U3.3;El examen final evalúa integralmente todos los contenidos del curso.
