id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Fundamentos y clasificación de materiales;tematico;"Materia prima y materiales / Clasificación de materiales / Propiedades físicas, químicas y tecnológicas / Materiales auxiliares / Fundamentos de la obtención de hierro y acero / Diagramas de flujo generales del proceso";1;2;;
U1.2;Estructura cristalina y estado sólido;tematico;"El estado sólido. Estructuras cristalinas / Tipos de celdas unitarias y redes cristalinas de metales / Parámetros de red y factores de empaquetamiento. Cálculos / Principios de metalurgia física";3;3;U1.1;Requiere la clasificación y propiedades básicas de materiales vistas previamente
U1.3;Procesos de conformación y fundición;tematico;"Principios de los procesos de conformación de materiales en la industria / Conformación por deformación plástica en frío y caliente: forja, laminación, embutido, estirado / Conformación por corte con soplete, unión soldada, metalurgia de polvos, mecanizado y fundición / Contracciones de metales y aleaciones, compensación de contracciones y defectología / Diseño de piezas fundidas, software existente y elaboración de moldes";4;5;U1.1;Requiere conocer la clasificación y propiedades del material antes de conformarlo
U2;Ensayos de materiales;tematico;"Ensayos mecánicos: dureza, tracción, flexión y compactación. Ensayos estándar. Curvas esfuerzo-deformación / Elasticidad de materiales y su aplicación / Fatiga e impacto en materiales metálicos. Normalización / Ensayos no destructivos: líquidos penetrantes, videoscopía, radiografía industrial y ultrasonido";6;8;U1.1;Se necesitan las propiedades básicas del material para interpretar sus ensayos
U3.1;Solidificación y diagramas de fases binarios;tematico;"Fusión y solidificación de un metal puro y de aleaciones metálicas. Curvas / Fases presentes: solución sólida, elemento libre y compuesto intermetálico / Diagramas de fases de aleaciones binarias. Leyes fundamentales / Deducción de la ley de la palanca";9;11;U1.2;Interpretar diagramas de fase requiere conocer la estructura cristalina y el estado sólido
U3.2;Transformaciones de fase en aleaciones binarias;tematico;"Transformaciones de fase en aleaciones binarias: transformación eutéctica, transformación eutectoide y transformación peritéctica / Problemas y análisis de solidificación";12;13;U3.1;Las transformaciones de fase se interpretan sobre los diagramas de equilibrio ya estudiados
U4;Aleaciones férreas;tematico;"Clasificación de aleaciones férreas / Fundición y acero al carbono, fundiciones y aceros especiales, diagramas hierro-carbono / Estructuras de fundición y acero / Influencia de los elementos de aleación en fundición y acero / Problemas de leyes de aleación, análisis de solidificación y determinación de microestructuras";14;15;U3.2;El diagrama hierro-carbono es una aplicación directa de las transformaciones de fase estudiadas
U5;Elaboración de aleaciones férreas;tematico;"Elaboración de aleaciones férreas estándar. Cálculo de horno de fusión y de carga / Problemas de cálculo de carga y normalización de fundición y acero / Solución de problemas de elaboración de aleaciones férreas";16;18;U4;El cálculo de carga de fusión depende de la clasificación y composición de la aleación férrea
U6;Aleaciones no férreas;tematico;"Clasificación y normalización de metales no férreos y sus aleaciones / Aleaciones de fusión y forja / Aleaciones de cobre, bronce y latón. Cálculo de carga para su elaboración / Aleaciones ligeras: aluminio y sus aleaciones, aleaciones aluminio-cobre y duraluminio / Aleaciones ultraligeras: magnesio y sus aleaciones / Titanio y otras aleaciones especiales no férreas";19;21;U3.1;Las aleaciones no férreas se rigen por la misma teoría general de diagramas de fase binarios
U7;Materiales cerámicos;tematico;"Concepto, clasificación, obtención, usos, propiedades y aplicaciones / Cerámicas derivadas de arcilla: elaboración, clasificación, propiedades y aplicaciones / Porosidad aparente y real, densidad aparente y real, resistencia mecánica y durabilidad. Relación porosidad-resistencia / Cerámicas especiales: vidrios, carburos, cemento y refractarios / Diagrama sílice-alúmina y otros diagramas de equilibrio para sistemas refractarios. Ley de la palanca";22;23;U1.1;Requiere las propiedades generales de los materiales para clasificar y estudiar cerámicos
U8;Materiales poliméricos;tematico;"Fundamentos, conceptos y origen de los polímeros / Importancia en la vida moderna / Polímeros termoplásticos y termoestables / Mecanismo de formación de un polímero / Grado de polimerización / Distribución de peso molecular / Propiedades y aplicaciones";24;25;U1.1;Requiere las propiedades generales de los materiales para estudiar la formación de polímeros
U9;Materiales compuestos;tematico;"Materiales compuestos (composites): concepto, tipos de unión, clasificación, propiedades y aplicación / Compuestos endurecidos por dispersión de partículas finas, reforzados por partículas reales, carburos cementados, contactos eléctricos, moldes especiales y conductores en arena sintética / Compuestos reforzados por fibras según tipo y disposición / Compuestos especiales derivados de polímeros";26;27;"U7,U8";"Los compuestos usan matrices o refuerzos cerámicos (carburos, refractarios) descritos en la unidad | Los compuestos incluyen matrices poliméricas, como se describe explícitamente en la unidad"
U10;Materiales nucleares y afines;tematico;"Fundamentos de física nuclear y materiales nucleares / Interacción radiación-materia. Uranio y reactores nucleares / Material radiactivo, producción de radionúclidos y aplicaciones. Aspectos de seguridad / Aplicaciones industriales, ambientales, energéticas, hidrológicas y mineras de la tecnología nuclear / Fundamentos de tecnología de irradiación / Centrales de generación de energía nuclear";28;29;U1.1;Requiere las propiedades generales de los materiales como base antes de estudiar materiales nucleares
L1;Laboratorio 1: Determinación de estructuras cristalinas de metales;laboratorio;"Determinación experimental de estructuras cristalinas de metales";3;3;U1.2;El laboratorio aplica directamente los conceptos de estructura cristalina y redes metálicas
L2;Laboratorio 2: Métodos de conformación y ensayos mecánicos;laboratorio;"Métodos de conformación de materiales y ensayos mecánicos sobre materiales";8;8;"U1.3,U2";"El laboratorio aplica los procesos de conformación estudiados en la unidad | El laboratorio aplica los ensayos mecánicos estudiados en la unidad"
L3;Laboratorio 3: Microestructura de materiales férreos y no férreos;laboratorio;"Observación y análisis de la microestructura de materiales férreos y no férreos";21;21;"U4,U6";"Requiere conocer la clasificación y estructura de las aleaciones férreas | Requiere conocer la clasificación y estructura de las aleaciones no férreas"
L4;Laboratorio 4: Determinación de propiedades de materiales cerámicos;laboratorio;"Determinación de propiedades de materiales cerámicos";23;23;U7;El laboratorio mide propiedades (porosidad, densidad, resistencia) explicadas en la unidad
L5;Laboratorio 5: Propiedades de isótopos y radiaciones ionizantes;laboratorio;"Demostración de propiedades de isótopos y de radiaciones ionizantes";29;29;U10;El laboratorio demuestra propiedades de materiales radiactivos estudiados en la unidad
P1;Práctica Calificada 1;evaluacion;"Evaluación de fundamentos de materiales, estructura cristalina, procesos de conformación y ensayos de materiales";8;8;"L1,L2";"Evalúa el dominio práctico de estructura cristalina demostrado en el laboratorio | Evalúa el dominio práctico de conformación y ensayos demostrado en el laboratorio"
P2;Práctica Calificada 2;evaluacion;"Evaluación de diagramas de fase, transformaciones de fase y aleaciones férreas";15;15;U4;Evalúa la comprensión de la clasificación y diagramas de las aleaciones férreas
P3;Práctica Calificada 3;evaluacion;"Evaluación de elaboración de aleaciones férreas, aleaciones no férreas y su laboratorio asociado";21;21;"U5,L3";"Evalúa el cálculo de carga y elaboración de aleaciones férreas | Evalúa el dominio práctico de microestructuras férreas y no férreas"
P4;Práctica Calificada 4;evaluacion;"Evaluación de materiales compuestos y de su laboratorio cerámico asociado";27;27;"U9,L4";"Evalúa la comprensión de materiales compuestos derivados de cerámicos y polímeros | Evalúa el dominio práctico de propiedades de materiales cerámicos"
EP;Examen Parcial;evaluacion;"Examen que evalúa de forma acumulativa los contenidos y prácticas calificadas de la primera mitad del curso";16;16;"P1,P2";"Consolida la evaluación de la práctica calificada 1 | Consolida la evaluación de la práctica calificada 2"
EF;Examen Final;evaluacion;"Examen final que evalúa de forma acumulativa todos los contenidos, prácticas calificadas y laboratorios restantes del curso";29;29;"EP,P3,P4,L5";"Consolida todo lo evaluado en el examen parcial | Consolida la práctica calificada 3 no cubierta por el examen parcial | Consolida la práctica calificada 4 no cubierta por el examen parcial | Cierra el laboratorio final de materiales nucleares sin otra evaluación previa"
