id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Introducción a los Procesos Industriales;tematico;"Introducción, Procesos Industriales, Tecnología, Operaciones y Procesos, Patentes, Sectores de la economía, La industria química y la química industrial, Recursos y reservas naturales, Materiales e insumos industriales, Normalización industrial, Matriz energética nacional, Producto bruto interno industrial, Código internacional industrial unificado, Diagramas de flujo de procesos (simbología)";1;1;;
U2.1;Potabilización de Agua: Coagulación y Floculación;tematico;"Calidad del agua e interpretación de los análisis de agua, Operaciones unitarias en la potabilización: Coagulación, Floculación";2;2;;
U2.2;Potabilización de Agua: Sedimentación, Filtración y Desinfección;tematico;"Sedimentación, Filtración, Desinfección, Normas nacionales y normas guía de la OMS en calidad de agua potable";3;3;U2.1;Sedimentación y filtración requieren los flóculos ya formados en la etapa previa
U3.1;Tratamiento de Agua para Uso Industrial;tematico;"Calidad de agua industrial (proceso y servicio), Agua para calderas, Des-aereación, Ablandamiento químico y por resinas, Intercambio iónico, Clasificación de resinas de intercambio iónico, Control de actividad microbiana, Tecnologías de separación por membranas";4;4;U2.2;El tratamiento industrial parte de las operaciones básicas de potabilización del agua
U4.1;Industria del Petróleo;tematico;"El petróleo del Perú, Calidad del crudo, Desalado de crudo, Destilación atmosférica, Destilación al vacío, Alquilación, Isomerización, Polimerización, Hidrodesulfuración catalítica, Craqueo catalítico, Proceso Claus, Parámetros de calidad de gasolina, diesel y fuel oils";5;5;;
U5.1;Industria del Gas Natural y del Carbón;tematico;"Composición del gas natural, Propiedades del LNG, Procesos de limpieza y preparación del GN, Procesos criogénicos (Linde, Claude), Separación de NGLs, Licuefacción del gas natural, Gas de Camisea; Clasificación del carbón mineral, Gasificación del carbón, Fabricación de coque";6;6;;
U6.1;Industria de los Gases Industriales;tematico;"Fraccionamiento de oxígeno y nitrógeno, Doble columna Linde, Separación de argón, Gases nobles, Acetileno, Dióxido de carbono, Hidrógeno, Usos industriales de los gases";7;7;;
EP;Examen Parcial;evaluacion;"Evaluación sumativa acumulada de las unidades I a VI: introducción, potabilización y tratamiento de agua, petróleo, gas natural y carbón, gases industriales";8;8;U1.1,U3.1,U4.1,U5.1,U6.1;Brinda los conceptos y simbología base usados en todas las unidades evaluadas | El examen parcial mide los conocimientos desarrollados en esta unidad | El examen parcial mide los conocimientos desarrollados en esta unidad | El examen parcial mide los conocimientos desarrollados en esta unidad | El examen parcial mide los conocimientos desarrollados en esta unidad
U7.1;Industria Cloro-Soda e Industria del Carbonato de Sodio;tematico;"Procesamiento de salmuera, Producción de cloro, Producción de soda cáustica, Electrólisis con cátodo de mercurio, Electrólisis con membranas, Método del diafragma, Síntesis de ácido clorhídrico, Obtención de hipoclorito de sodio, Fabricación de carbonato de sodio";9;9;;
U8.1;Industria del Amoníaco;tematico;"Propiedades del amoníaco, Reformado del gas natural, Purificación del gas de reformado, Reactores del proceso Haber-Bosch, Licuefacción de amoníaco, Aplicaciones industriales del amoníaco";10;10;;
