id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Introducción a la Ingeniería Económica y Rentabilidad;tematico;"Presentación del curso, Temario, Plan de Desarrollo del curso, El análisis económico en la Ingeniería y sus aplicaciones, La rentabilidad técnica y la rentabilidad económica, El análisis intemporal, Definiciones básicas y simbología, Los proyectos de inversión y la importancia del curso en la evaluación de estos";1;1;;
U1.2;Valor del Dinero en el Tiempo e Interés Simple y Compuesto;tematico;"El valor del dinero en el tiempo, El concepto de interés, La tasa de interés y de rendimiento, Tipos de tasas de interés, Interés Simple, Interés Compuesto, Ejemplos";1;1;U1.1;Requiere las definiciones básicas y simbología previas para interpretar el interés.
U2.1;Deducción de Fórmulas y Factores de Equivalencia;tematico;"Deducción de fórmulas y factores. Ejercicios.";2;2;U1.2;El interés compuesto es la base matemática para deducir los factores de equivalencia.
U2.2;Tipos de Tasas de Interés y Relaciones de Equivalencia;tematico;"Tipos de tasa de interés: Tasa Nominal, Tasa Proporcional, Tasa Efectiva, Tasa de Descuento, Interés Simple y Compuesto, Tasa de costo de oportunidad, Relaciones de Equivalencia, Ejemplos";2;2;U2.1;Los factores de equivalencia son necesarios para calcular relaciones entre tipos de tasas.
U3.1;Series Uniformes, Diferidas, Aleatorias y Gradientes;tematico;"Calculo de series uniformes diferidas y aleatorias, Cálculo de gradiente aritmética y geométrica, Ejemplos";3;3;U2.1;Los factores de equivalencia básicos son prerrequisito para calcular series y gradientes.
U3.2;Operaciones del Sistema Financiero;tematico;"Principales modalidades de las operaciones del Sistema Financiero, Operaciones Activas, Operaciones Pasivas, Costos y Rendimientos";3;3;U2.2;Calcular costos y rendimientos bancarios requiere dominar los tipos de tasas de interés.
PC1;Práctica Calificada 1;evaluacion;"Evaluación de series uniformes/diferidas, gradientes y operaciones del sistema financiero";3;3;U3.1,U3.2;Evalúa el dominio de series y gradientes | Evalúa el dominio de operaciones del sistema financiero
U4.1;Evaluación de Alternativas: Valor Presente y Valor Anual;tematico;"Análisis del Valor Presente, Análisis de Valor Anual y sus aplicaciones, Casos de Análisis de Valor Presente, Cálculo del periodo de recuperación de capital, Ejemplos";4;4;U2.1;Los factores de equivalencia son la base de cálculo del valor presente y anual.
L4.1;Práctica Dirigida: Valor Presente, Valor Anual y Periodo de Recuperación;laboratorio;"Práctica Dirigida: Análisis de Valor Presente, Análisis de Valor Anual, Periodo de recuperación de capital, Casos Prácticos";4;4;U4.1;Aplica de forma guiada los métodos de Valor Presente y Valor Anual recién enseñados.
U5.1;Tasa Interna de Retorno (TIR);tematico;"La Tasa Interna de Retorno TIR. Definición e interpretación, Calculo de la Tasa Interna de Retorno, Aplicaciones";5;5;U4.1;El cálculo de la TIR requiere igualar a cero el Valor Presente.
U6.1;Problemas de Matemática Financiera y Leasing;tematico;"Problemas generales de aplicación, Problemas de Matemática Financiera, El Leasing";6;6;U5.1;Integra el uso de VP y TIR para resolver problemas financieros aplicados, incluido el leasing.
PC2;Práctica Calificada 2;evaluacion;"Evaluación acumulativa de la práctica dirigida de VP/VA y de los problemas de matemática financiera y leasing";6;6;PC1,L4.1,U6.1;Continúa la evaluación acumulativa desde la PC1 | Evalúa la práctica dirigida de Valor Presente y Valor Anual | Evalúa los problemas financieros y de leasing
U7.1;Análisis Incremental y Evaluación de Alternativas Múltiples;tematico;"El análisis incremental, Aplicaciones y Problemas de análisis incremental, Evaluación de Alternativas Múltiples, La Tasa de Retorno marginal";7;7;U5.1;El análisis incremental compara tasas de retorno calculadas mediante la TIR.
EP;Examen Parcial;evaluacion;"Evaluación acumulativa de los contenidos desarrollados entre las semanas 1 y 7";8;8;PC2,U7.1;Continúa la evaluación acumulativa desde la PC2 | Evalúa el análisis incremental y de alternativas múltiples
U9.1;Relación Beneficio-Costo;tematico;"Relación Beneficio Costo, Ejemplos";9;9;U4.1;La razón beneficio-costo se calcula a partir del valor presente de beneficios y costos.
L9.1;Práctica Dirigida: Relación Beneficio-Costo;laboratorio;"Práctica dirigida de la Relación Beneficio Costo";9;9;U9.1;Aplica de forma guiada el cálculo de la relación beneficio-costo.
U10.1;Análisis de Reemplazo y Vida Útil Económica;tematico;"El análisis de reemplazo, La vida útil económica, Ejemplos";10;10;U4.1;La decisión de reemplazo se basa en comparar valores presentes o anuales de activos.
U11.1;Análisis del Punto de Equilibrio;tematico;"El análisis del punto de equilibrio, Punto de equilibrio para un proyecto, Análisis de punto de equilibrio entre dos alternativas";11;11;U7.1;El punto de equilibrio entre alternativas requiere el método de comparación de alternativas múltiples.
PC3;Práctica Calificada 3;evaluacion;"Evaluación acumulativa de la relación beneficio-costo, el análisis de reemplazo y el punto de equilibrio";11;11;EP,L9.1,U10.1,U11.1;Continúa la evaluación acumulativa desde el Examen Parcial | Evalúa la práctica de beneficio-costo | Evalúa el análisis de reemplazo | Evalúa el punto de equilibrio
U12.1;Vida Económica, Depreciación y Agotamiento;tematico;"La vida económica de los equipos, Definiciones y modelos, La Depreciación y el Agotamiento, Casos y aplicaciones, Utilización del EXCEL para determinación de modelos de Depreciación y Agotamiento";12;12;U10.1;Los modelos de depreciación se basan en el concepto de vida útil económica.
U12.2;Inflación, Devaluación y Tasas Reales;tematico;"Inflación, Devaluación, Tasas Reales, Ejercicios";12;12;U2.2;El cálculo de tasas reales requiere distinguir previamente tasas nominales y efectivas.
U12.3;Impuesto a la Renta y Arrendamiento Financiero;tematico;"Impuesto a la renta en el análisis económico, Ejercicios de Arrendamiento financiero";12;12;U12.1,U6.1;El escudo fiscal del impuesto a la renta usa la depreciación ya calculada | El arrendamiento financiero extiende el concepto de leasing
U14.1;Financiamiento de Inversiones y Efectos del Endeudamiento;tematico;"Financiamiento de Inversiones: Efectos del Endeudamiento, evaluación de la tasa de interés";14;14;U12.3;El efecto del endeudamiento en la evaluación incorpora el escudo fiscal del impuesto a la renta.
U14.2;Teoría del Crédito y Negocio Bancario;tematico;"Teoría del crédito, Fuentes de Endeudamiento, el negocio bancario";14;14;U14.1;Requiere conocer los efectos del endeudamiento antes de estudiar sus fuentes.
PC4;Práctica Calificada 4;evaluacion;"Evaluación acumulativa de inflación/tasas reales, financiamiento y teoría del crédito";14;14;PC3,U12.2,U14.2;Continúa la evaluación acumulativa desde la PC3 | Evalúa inflación y tasas reales | Evalúa la teoría del crédito y negocio bancario
U15.1;Análisis de Sensibilidad;tematico;"Análisis de Sensibilidad, Incidencia de la variación de una variable en el parámetro de Decisión, Los valores meta y los valores límite, Construcción de Escenarios, Problemas y aplicaciones de Sensibilidad";15;15;U11.1;El punto de equilibrio es un caso particular de análisis de sensibilidad de variables.
EF;Examen Final;evaluacion;"Evaluación acumulativa de los contenidos desarrollados entre las semanas 9 y 15";16;16;PC4,U15.1;Continúa la evaluación acumulativa desde la PC4 | Evalúa el análisis de sensibilidad
ES;Examen Sustitutorio;evaluacion;"Evaluación sustitutoria que reemplaza la nota más baja obtenida en los exámenes del curso";18;18;EF;Evalúa los mismos contenidos acumulados medidos en el Examen Final.
