id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Estimación puntual y propiedades de estimadores;tematico;"Método de estimación puntual. Propiedades deseables de los estimadores: insesgadez, eficiencia y consistencia.";1;1;;
U1.2;Intervalos de confianza para un parámetro;tematico;"Estimación por intervalos de confianza. Método general de construcción de intervalos para un parámetro. Tamaño de muestra con probabilidad de confianza. Dócima confidencial.";1;1;U1.1;Requiere el estimador puntual para construir el intervalo de confianza
U1.3;Intervalos de confianza para dos parámetros;tematico;"Construcción de intervalos de confianza para dos parámetros. Tamaños de muestra con probabilidad de confianza. Dócima confidencial.";2;2;U1.2;Extiende el método de un parámetro a dos parámetros
U2.1;Prueba de hipótesis paramétrica para medias;tematico;"Procedimiento general de prueba de hipótesis. Errores tipo I y II. Función potencia. Construcción de regiones de rechazo y aceptación. Dócimas para medias de uno y dos parámetros.";3;3;U1.3;Las regiones de prueba usan la teoría de intervalos de confianza
U2.2;Dócimas para proporciones y varianzas;tematico;"Dócimas para proporciones y para varianzas de uno y dos parámetros. Determinación del tamaño de muestra para riesgos tipo I y II. Limitaciones de las pruebas paramétricas.";4;4;U2.1;Aplica el procedimiento general de prueba de hipótesis a proporciones y varianzas
PC1;Práctica Calificada 1;evaluacion;"Evaluación práctica calificada sobre estimación puntual, intervalos de confianza y pruebas paramétricas (semanas 1 a 4).";5;5;U2.2;Evalúa el dominio acumulado de estimación e inferencia paramétrica
U3.1;Bondad de ajuste y pruebas no paramétricas de una muestra;tematico;"Aplicaciones de la distribución Chi-cuadrado. Generación de números aleatorios según una distribución especificada. Pruebas de bondad de ajuste. Plot de probabilidad. Pruebas no paramétricas para una muestra.";5;5;U2.2;Las limitaciones de las pruebas paramétricas motivan el uso de métodos no paramétricos
U3.2;Pruebas no paramétricas para dos y k muestras;tematico;"Pruebas para dos muestras independientes. Pruebas para dos muestras relacionadas. Pruebas para k muestras independientes y relacionadas. Comparación entre pruebas paramétricas y no paramétricas.";6;6;U3.1;Extiende las pruebas no paramétricas de una muestra a varias muestras
U4.1;Vectores aleatorios y distribuciones conjuntas;tematico;"Vector aleatorio. Tipos. Función de probabilidad. Función de distribución. Distribuciones marginales y condicionales. Características. Independencia.";7;7;;
EP;Examen Parcial;evaluacion;"Evaluación acumulativa de estimación, intervalos de confianza, pruebas paramétricas y no paramétricas, y vectores aleatorios (semanas 1 a 7).";8;8;U3.2,U4.1,PC1;Nodo hoja evaluado en el examen parcial, no requerido después | Nodo hoja evaluado en el examen parcial, no requerido después | Consolida la práctica calificada previa antes del examen parcial
U5.1;Regresión lineal simple;tematico;"Modelo de regresión lineal simple y regresión lineal general. Estimación e inferencia estadística en regresión. Predicción puntual y por intervalo. Regresión no lineal.";9;9;U2.1;La inferencia sobre coeficientes de regresión requiere pruebas de hipótesis
U5.2;Regresión lineal general en forma matricial;tematico;"Regresión lineal general. Forma matricial. Ecuaciones normales. Modelo con y sin intercepto. Desviación de medias. Estimación puntual y por intervalo.";10;10;U5.1;Generaliza el modelo de regresión simple a notación matricial
PC2;Práctica Calificada 2;evaluacion;"Evaluación práctica calificada sobre regresión lineal simple y general (semanas 9 y 10).";10;10;U5.2,EP;Evalúa el dominio acumulado de regresión lineal simple y general | Consolida la evaluación parcial antes de continuar el curso
U5.3;Hipótesis lineal general y selección de modelos;tematico;"Predicción media y predicción individual. Hipótesis Lineal General. Modelos reducidos. Principio de sumas extras de cuadrados. Pruebas F parciales. Modelos polinomiales. Métodos de selección de variables.";11;11;U5.2;Requiere el modelo matricial para construir hipótesis lineales generales
U5.4;Variables indicadoras y análisis residual;tematico;"Regresión con variables indicadoras. Análisis residual y problemas de especificación de un modelo de regresión.";12;12;U5.3;El análisis de especificación requiere dominar la selección de modelos
U6.1;Series de tiempo y descomposición clásica;tematico;"Series de tiempo. Series estacionarias y no estacionarias. Descomposición clásica. Estimación de tendencia y estacionalidad. Variaciones cíclicas e irregulares. Técnicas de suavización. Índices estacionales. Desestacionalización. Previsiones.";13;13;U5.1;La estimación de tendencia usa el modelo de regresión lineal
U7.1;Diseño y análisis de experimentos, ANOVA;tematico;"Principios del diseño y análisis de experimentos. Diseño completamente aleatorizado. Diseño en bloque completo al azar. Diseño cuadrado latino. Análisis de varianza. Pruebas a priori y a posteriori.";14;14;U2.2;El análisis de varianza extiende las pruebas de varianza paramétricas
PC3;Práctica Calificada 3;evaluacion;"Evaluación práctica calificada sobre regresión, series de tiempo y diseño de experimentos (semanas 9 a 14).";14;14;U5.4,U6.1,PC2;Nodo hoja de regresión evaluado en la práctica calificada 3 | Nodo hoja de series de tiempo evaluado en esta práctica | Consolida la práctica calificada 2 antes de esta evaluación
U7.2;Experimentos factoriales y análisis de covarianza;tematico;"Experimentos factoriales. Modelo estadístico con dos factores con y sin interacción. Análisis de covarianza.";15;15;U7.1;Los experimentos factoriales generalizan el análisis de varianza a varios factores
EF;Examen Final;evaluacion;"Evaluación acumulativa final del curso: regresión, series de tiempo y diseño de experimentos (semanas 9 a 15), y consolidación de toda evaluación previa.";16;16;U7.2,PC3;Nodo hoja evaluado en el examen final, no requerido después | Consolida toda la evaluación acumulada previa al examen final
