id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1;Introducción al Control Estadístico de Procesos;tematico;"La producción y los procesos productivos. La información de resultados. La producción y el control total de la calidad. Revisión de términos en muestreo, estimación estadística y docimasia estadística. Agrupación de datos. Histogramas. Medidas de tendencia central y de dispersión.";1;1;;
U2;Introducción al Diseño Experimental;tematico;"Principios básicos del diseño experimental. Enfoque global. Construcción y uso de modelos. Variables. Criterios. Muestreo aleatorio.";2;2;;
PC1;Práctica Calificada 1;evaluacion;"Evaluación sumativa sobre estadística descriptiva básica y principios de diseño experimental.";3;3;U1,U2;Evalúa fundamentos de estimación y docimasia | Evalúa principios de diseño experimental y muestreo
U3;Metodología ANVA: Modelo de Efecto Fijo;tematico;"Análisis de varianza. Modelo de Efecto Fijo. Homogeneidad de varianzas. Valores esperados. Modo de uso.";3;3;U1,U2;Requiere fundamentos de estimación y docimasia estadística de la unidad 1 | Requiere principios de diseño experimental y muestreo aleatorio
U4;Diseño Completamente Aleatorizado (DCA);tematico;"Diseño Completamente Aleatorizado (DCA). Características. Terminologías y fórmulas. Tabla del análisis de varianza (ANVA).";4;4;U3;DCA aplica directamente la metodología ANVA de efecto fijo desarrollada antes
U5;Dócimas para Homogeneidad de Varianza;tematico;"Aplicación de dócimas para la homogeneidad de la varianza: Cochran, Levene, Hartley, Bartlett. Contrastes. Interpretación de resultados.";5;5;U4;Verifica el supuesto de homogeneidad de varianza sobre los datos del DCA
U6;Diseño en Bloques Completamente Aleatorizado (DBCA);tematico;"Diseño en Bloques Completamente Aleatorizado (DBCA). Características. Terminologías y fórmulas. Tabla ANVA. Criterios a considerar. Contrastes. Interpretación de resultados.";6;6;U4;DBCA extiende el DCA incorporando el control por bloques
PC2;Práctica Calificada 2;evaluacion;"Evaluación sumativa sobre DCA y pruebas de homogeneidad de varianza.";6;6;U5;Evalúa dócimas de homogeneidad, contenido que requiere haber dominado el DCA
U7;DBCA con Datos Perdidos (Incompleto);tematico;"Introducción. Datos perdidos. Estimación del dato perdido. Ajustes por estimación de dato perdido. Consideraciones a tener en cuenta para el dato estimado. Interpretación de resultados.";7;7;U6;Requiere el diseño DBCA base para aplicar la estimación de datos perdidos
EP;Examen Parcial;evaluacion;"Evaluación sumativa que mide el contenido desarrollado desde la introducción al CEP hasta el DBCA con datos perdidos.";8;8;U7;Contenido más reciente antes del examen, no evaluado en prácticas previas
U9;Diseño en Cuadrado Latino (DCL);tematico;"Diseño en Cuadrado Latino (DCL). Características. Terminologías y fórmulas. Tabla ANVA. Criterios a considerar. Contrastes. Interpretación de resultados.";9;9;U6;DCL extiende el bloqueo unidireccional del DBCA a un bloqueo bidireccional
U10;Cuadrado Latino con Datos Perdidos (Incompleto);tematico;"Observaciones perdidas. Estimación del dato perdido. Consideraciones a tener en cuenta para el dato estimado. Interpretación de resultados.";10;10;U9;Requiere el diseño DCL base para aplicar la estimación de datos perdidos
U11;Diseño de Experimentos Factoriales (Un Factor);tematico;"Introducción al diseño de experimentos factoriales. Modelos experimentales con factores de dos niveles. Experimentos con un factor (1F-DCA). Partición de la suma de cuadrados. Tabla ANVA. Experimentos con un factor en bloque (1F-DBCA).";11;11;U6;Extiende los diseños DCA y DBCA, ya cubiertos, a experimentos con un factor
PC3;Práctica Calificada 3;evaluacion;"Evaluación sumativa sobre diseño en cuadrado latino incompleto y diseños factoriales de un factor.";11;11;U10;Evalúa el diseño en cuadrado latino con datos perdidos, no evaluado antes
U12;Diseños Factoriales con Dos Factores;tematico;"Experimentos con dos factores (2F-DCA). Partición de suma de cuadrados. Cómputo de fórmulas. Tabla ANVA. Experimentos con dos factores en bloques (2F-DBCA). Partición de suma de cuadrados. Cómputo de fórmulas. Tabla ANVA.";12;12;U11;Extiende el análisis factorial de un factor a dos factores
U13;Diseños Factoriales con Tres Factores;tematico;"Experimentos con tres factores en DBCA (3F-DBCA). Partición de la suma de cuadrados. Fórmulas. Tabla ANVA. Experimentos con tres factores en DCA (3F-DCA). Partición de la suma de cuadrados. Fórmulas. Tabla ANVA.";13;13;U12;Extiende el análisis factorial de dos factores a tres factores
PC4;Práctica Calificada 4;evaluacion;"Evaluación sumativa sobre diseños factoriales con tres factores.";14;14;U13;Evalúa los diseños factoriales de tres factores, no evaluados antes
U14;Diagramas de Control;tematico;"Estadística aplicada en mejoramiento de calidad. Control de calidad. Diseños experimentales para mejoramiento de calidad. Diagramas de Control.";14;14;;
U15;Diagramas de Control por Variables (X y R);tematico;"Control de procesos. Gráficos en X y en R. Procesos bajo control. Ajustes a gráficos de procesos que están fuera de control.";15;15;U14;Aplica los diagramas de control generales a gráficos específicos por variables
EF;Examen Final;evaluacion;"Evaluación sumativa final que mide el contenido desarrollado en la segunda mitad del curso, desde el diseño en cuadrado latino hasta los diagramas de control por variables.";16;16;U15;Contenido más reciente antes del examen final, no evaluado en prácticas previas
SUS;Examen Sustitutorio;evaluacion;"Evaluación sustitutoria del examen final o parcial, según reglamento del curso.";18;18;EF;Evalúa el mismo contenido acumulado exigido para el examen final
