id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;La Empresa y el Director Financiero;tematico;"Las empresas generan valor; Propiedad y gerencia, Teoría de agencia; El director financiero: funciones, responsabilidades y objetivos; Principios empresariales: áreas de decisión e importancia; La empresa y los mercados financieros";1;1;;
U1.2;Finanzas, Economía y Contabilidad;tematico;"Lecciones de la Microeconomía; Competencia Perfecta, Monopolio, Sociedad, Externalidades, regulación; Maximización de precios como objetivo empresarial; Los Sistemas Financieros y el Sistema Financiero Peruano; Dimensión contable y dimensión financiera; Estados Financieros relevantes: Balance General, Estado de Ganancias y Pérdidas, Flujo de Caja";1;2;;
U1.3;Valor del Dinero en el Tiempo;tematico;"Importancia en las decisiones de financiamiento e inversión; Valor del dinero en el tiempo";2;2;;
U1.4;Introducción al Riesgo y Rentabilidad;tematico;"Incidencia del riesgo en la administración financiera; relación entre riesgo y rentabilidad; análisis e importancia";3;3;;
U2.1;Conceptos Básicos de Inversión;tematico;"La relación entre los bancos y las empresas; Comportamiento de los inversionistas: cobertura, especulativo y arbitraje";3;3;;
U2.2;Criterios de Evaluación de Inversiones (VAN, TIR, B/C);tematico;"Valor Actual Neto, Tasa Interna de Retorno y ratio beneficio/costo; VAN vs TIR; por qué el VAN es el indicador por excelencia";4;4;U1.3;El cálculo del VAN y TIR requiere dominar el valor del dinero en el tiempo
L1;Laboratorio 1: Decisiones de Inversión, Índices de Evaluación;laboratorio;"Aplicación práctica de VAN, TIR y ratio beneficio/costo en casos de inversión";4;4;U2.2;El laboratorio aplica directamente los criterios de evaluación aprendidos
PC1;Práctica Calificada 1;evaluacion;"Evaluación de los contenidos de la Unidad I y los conceptos iniciales de la Unidad II";5;5;U1.1,U2.1,L1;Tema raíz sin uso posterior, se mide en la práctica más próxima | Tema raíz sin uso posterior, se mide en la práctica más próxima | Laboratorio sin uso posterior, se mide en la práctica más próxima
U2.3;Presupuesto de Capital;tematico;"Proceso de presupuestación; Modelo de evaluación de inversiones; Etapas de una decisión de inversión: pre-operativa y operativa; Evaluación";5;5;U2.2;El presupuesto de capital aplica los criterios de evaluación para decidir proyectos
L2;Laboratorio 2: Modelamiento Financiero y Valuación de Empresas;laboratorio;"Modelamiento financiero, proyección de Estados Financieros y valuación de empresas";5;5;U1.2,U2.3;Requiere los Estados Financieros para construir el modelo | Requiere el presupuesto de capital para proyectar inversiones del modelo
U2.4;Costo de Capital (CAPM y WACC);tematico;"Costo de oportunidad del capital propio; Modelo CAPM; Determinación del costo de capital patrimonial; Costo promedio ponderado de capital (WACC)";5;6;U1.4;El CAPM se construye sobre la relación técnica entre riesgo y rentabilidad
L4;Laboratorio 4: Costo de Capital con Datos Públicos;laboratorio;"Cálculo del costo de capital de una empresa utilizando datos públicos de mercado";6;6;U2.4;El laboratorio aplica directamente el cálculo de CAPM y WACC
U2.5;Valorización de Bonos: Duration y Modified Duration;tematico;"Valoración de Bonos; Duration; Modified Duration";6;7;U1.3;La valoración de bonos requiere descontar flujos con el valor del dinero en el tiempo
L3;Laboratorio 3: Valoración de Obligaciones Financieras, Bonos, Duration;laboratorio;"Valoración de obligaciones financieras, bonos, duration y modified duration";7;7;U2.5;El laboratorio aplica directamente la valorización de bonos y duration
EP;Examen Parcial;evaluacion;"Evaluación acumulativa de las Unidades I y II: la empresa, valor del dinero en el tiempo, riesgo, criterios de inversión, costo de capital y bonos";8;8;PC1,L2,L3,L4;La práctica calificada 1 es el checkpoint acumulado previo | Laboratorio sin uso posterior, se mide en el parcial | Laboratorio sin uso posterior, se mide en el parcial | Laboratorio sin uso posterior, se mide en el parcial
U3.1;Política de Endeudamiento y Riesgo Financiero;tematico;"Teoremas de Modigliani y Miller (sin impuestos); Riesgo financiero";9;9;U2.4;El teorema M&M analiza cómo el apalancamiento afecta el costo de capital
U3.2;Financiamiento a Corto Plazo;tematico;"Principales alternativas de financiamiento a corto plazo; Fuentes de financiamiento";9;9;U1.2;Requiere el Balance General para identificar necesidades de financiamiento de corto plazo
U3.3;Estructura de Capital: Finanzas de Largo Plazo;tematico;"Estructura financiera, capitalización y de activos; Modelo general de financiamiento; Aproximación a través de riesgos y retornos; Teoremas de Modigliani y Miller con impuestos";10;10;U3.1;Extiende el teorema M&M sin impuestos al análisis con impuestos
L5;Laboratorio 5: Estructura Óptima del Capital;laboratorio;"Determinación de la estructura óptima del capital en una empresa";10;10;U3.3;El laboratorio aplica directamente el modelo de estructura de capital
U3.4;Política de Dividendos;tematico;"Dividendos en efectivo y en acciones; Efectos sobre ratios financieros; Métodos de compra de acciones y efectos sobre ganancias y valor en libros";11;11;U3.3;La política de dividendos se decide dentro de la estructura de capital óptima
U3.5;Financiamiento a Largo Plazo y Cobertura de Riesgos;tematico;"Tipos de deuda; Titulización de activos, emisión de bonos y acciones; Introducción al Project Finance; Instrumentos de cobertura: Forward, SWAP, Opciones Financieras";11;11;U3.3;La elección de instrumentos de deuda depende de la estructura de capital definida
L6;Laboratorio 6: Evaluación Económica y Financiera con Variación de Riesgo;laboratorio;"Evaluación económica y financiera de proyectos considerando variación del riesgo financiero";11;11;U3.1;El laboratorio aplica el análisis de riesgo financiero derivado del apalancamiento
PC2;Práctica Calificada 2;evaluacion;"Evaluación de los contenidos de la Unidad III: financiamiento, estructura de capital y dividendos";12;12;EP,U3.2,U3.4,U3.5,L5,L6;El examen parcial es el checkpoint acumulado previo | Tema sin uso posterior, se mide en la práctica | Tema sin uso posterior, se mide en la práctica | Tema sin uso posterior, se mide en la práctica | Laboratorio sin uso posterior, se mide en la práctica | Laboratorio sin uso posterior, se mide en la práctica
U4.1;Administración de Capital de Trabajo;tematico;"Fuentes de liquidez y factores que afectan la liquidez; Ratios de liquidez; Ciclo operativo y ciclo de conversión de efectivo";12;12;U1.2;Los ratios de liquidez se calculan a partir de los Estados Financieros
U4.2;Análisis Financiero y Planificación;tematico;"Importancia de la planificación financiera; Pronóstico o proyecciones; Relación entre ventas, inversiones en activos y financiamiento";13;13;U4.1;La planificación financiera proyecta a partir del capital de trabajo ya administrado
PC3;Práctica Calificada 3;evaluacion;"Evaluación de los contenidos de la Unidad IV: planificación financiera y capital de trabajo";14;14;PC2,U4.2;La práctica calificada 2 es el checkpoint acumulado previo | Tema sin uso posterior, se mide en la práctica
U5.1;Riesgo y Rentabilidad del Portafolio;tematico;"Definiciones de incertidumbre y riesgo; Estadígrafos: rentabilidad y riesgo del portafolio";14;14;U1.4;Extiende los conceptos de riesgo y rentabilidad ya introducidos a nivel de portafolio
U5.2;Portafolios de Dos Activos;tematico;"Portafolio de dos activos riesgosos; Portafolio de un activo riesgoso y uno libre de riesgo; Línea de Mercado de Capitales";15;15;U5.1;El cálculo del portafolio de dos activos requiere los estadígrafos de riesgo y rentabilidad
U5.3;Portafolios de Tres Activos;tematico;"Construcción de portafolios de tres activos";15;15;U5.2;La construcción con tres activos extiende el modelo matemático de dos activos
L7;Laboratorio 7: Teoría de Portafolios (2, 3 y N Activos);laboratorio;"Teoría de portafolios con 2 y 3 activos, y generalización a N activos";15;15;U5.3;El laboratorio aplica directamente la construcción de portafolios de tres activos
EF;Examen Final;evaluacion;"Evaluación acumulativa final del curso: financiamiento, planificación financiera y teoría de portafolios";16;16;PC3,L7;La práctica calificada 3 es el checkpoint acumulado previo | Laboratorio sin uso posterior, se mide en el examen final
