id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U1.1;Fundamentos de Circuitos y Leyes de Kirchhoff;tematico;"Elementos eléctricos, leyes de Kirchhoff, reducciones y transformación de elementos activos y pasivos";1;1;;
U1.2;Métodos de Solución de Circuitos (Mallas y Nodos);tematico;"Solución general de circuitos eléctricos, métodos de corrientes de malla y voltajes nodales, aplicaciones";2;2;U1.1;Requiere las leyes de Kirchhoff antes de resolver circuitos por mallas
U1.3;Teoremas de Redes Eléctricas (Thevenin, Norton, Superposición);tematico;"Linealidad, superposición, teorema de Thevenin, teorema de Norton, teorema de máxima transferencia de potencia, aplicaciones";3;3;U1.2;Los teoremas de redes requieren dominar los métodos de solución de circuitos
U1.4;Circuitos de Corriente Alterna Monofásicos;tematico;"Circuitos de corriente alterna, sistema monofásico, triángulo de potencias, balance de flujo de energía, corrección del factor de potencia, eficiencia, resonancia";4;4;U1.2;El análisis de circuitos AC requiere los métodos de solución ya aprendidos
U1.5;Sistema Trifásico Balanceado;tematico;"Sistema trifásico balanceado, configuración estrella, configuración en triángulo, aplicaciones, balance de potencia, corrección del factor de potencia, eficiencia";4;4;U1.4;El sistema trifásico extiende los conceptos de potencia del sistema monofásico
LAB1;Laboratorio: Leyes de Kirchhoff;laboratorio;"Laboratorio 1: Leyes de Kirchhoff";2;2;U1.1;Aplica prácticamente las leyes de Kirchhoff enseñadas previamente en teoría
LAB2;Laboratorio: Teorema de Thevenin;laboratorio;"Laboratorio 2: Teorema de Thevenin";4;4;U1.3;Aplica prácticamente el teorema de Thevenin enseñado previamente en teoría
U2.1;Electromagnetismo y Transformadores;tematico;"Principios de electromagnetismo, transformador monofásico, trifásico, autotransformadores, circuito equivalente, pruebas en vacío y corto circuito, eficiencia, regulación, distribución de carga";5;5;U1.5;Los transformadores trifásicos requieren entender previamente el sistema trifásico balanceado
U2.2;Máquinas Eléctricas Rotativas DC/AC;tematico;"Máquinas eléctricas rotativas en DC y AC: principios de operación, análisis como generador y como motor, conexión independiente, serie, derivación, compuesta, máquina síncrona y asíncrona";6;6;U2.1;Las máquinas rotativas requieren los principios electromagnéticos vistos en transformadores
U2.3;Instalaciones Eléctricas y Planos;tematico;"Instalaciones eléctricas, especificaciones técnicas, dimensionamiento, selección, lectura e interpretación de planos";7;7;U2.1,U2.2;Dimensionar instalaciones requiere conocer transformadores previamente | Requiere conocer las cargas de máquinas eléctricas
TP1;Trabajo Práctico: Instalación Trifásica Industrial;laboratorio;"Trabajo práctico: descripción técnica de una instalación trifásica industrial a través de planos eléctricos";7;7;U1.5,U2.3;Requiere conocimiento del sistema trifásico industrial | Requiere leer e interpretar planos de instalaciones eléctricas
EP;Examen Parcial;evaluacion;"Examen Parcial: evaluación de las unidades 1 y 2 - Fundamentos de circuitos eléctricos y Electromagnetismo";8;8;LAB1,LAB2,TP1;Evalúa la aplicación práctica de las leyes de Kirchhoff | Evalúa la aplicación práctica del teorema de Thevenin | Evalúa la instalación trifásica y lectura de planos
U3.1;Diodos Semiconductores y Rectificación;tematico;"Diodo semiconductor, unión PN, modelo del diodo semiconductor, rectificador de media onda, rectificador de onda completa, fuente de alimentación DC, clases de diodos, diodo Zener, regulación de voltaje, fotodiodo, diodo LED";9;9;U1.4;Los rectificadores requieren entender señales de corriente alterna monofásica
U3.2;Transistores BJT y FET;tematico;"Transistor BJT, polarización de un BJT, BJT como amplificador y conmutador, transistor FET, JFET, MOSFET";10;10;U3.1;Los transistores se basan en la unión PN de diodos
U3.3;Electrónica de Potencia (SCR, IGBT);tematico;"Clases de dispositivos de potencia: SCR, IGBT, características de dispositivos de potencia, regulador de voltaje, amplificador de potencia";11;11;U3.2;Los dispositivos de potencia extienden principios de conmutación de transistores
LAB3;Laboratorio: Fuente DC Regulada;laboratorio;"Laboratorio 3: Fuente DC regulada";10;10;U3.1;Aplica el diodo Zener para regular una fuente DC
U4.1;Convertidores de Potencia (AC/DC, DC/DC, DC/AC);tematico;"Convertidores AC/DC, rectificadores trifásicos, tiristores y rectificadores controlados, convertidores DC/DC, inversor DC/AC";12;12;U3.3;Los convertidores controlados requieren tiristores y dispositivos de potencia previos
U4.2;Amplificador Operacional (OPAMP);tematico;"Amplificador operacional (OPAMP): características, modelos, circuito no inversor, inversor, sumador, integrador y derivador, aplicaciones";13;13;U3.2;El amplificador operacional se basa en conceptos de amplificación con BJT
LAB4;Laboratorio: Amplificador con BJT y OPAMP;laboratorio;"Laboratorio 4: Amplificador con BJT y OPAMP";14;14;U3.2,U4.2;Aplica el transistor BJT en un circuito amplificador real | Aplica el amplificador operacional en un circuito real
U4.3;Instrumentación Eléctrica;tematico;"Instrumentación eléctrica monofásica y trifásica: amperímetro, voltímetro, vatímetro, frecuencímetro, ohmímetro";14;14;U1.5;Los instrumentos miden magnitudes de potencia definidas en sistemas trifásicos
U4.4;Instrumentación Electrónica y Sensores;tematico;"Instrumentación electrónica: sistemas de medición, sensores de movimiento, distancia, fuerza, presión, flujo y temperatura";15;15;U4.3;Los sensores electrónicos se apoyan en principios de instrumentación eléctrica
EF;Examen Final;evaluacion;"Examen Final: evaluación de las unidades 3 y 4 - Semiconductores y dispositivos electrónicos, Sistemas integrados avanzados";16;16;U4.1,U4.4,LAB3,LAB4;Evalúa los convertidores y la electrónica de potencia | Evalúa la instrumentación electrónica y los sensores | Evalúa la fuente DC regulada de laboratorio | Evalúa el amplificador BJT y OPAMP de laboratorio
